codigo;nombre;marca;modelo;categoria;unidad;precio_x_menor;precio_x_mayor;alerta_cantidad
10000944;S20 SIN MARCO;;;23;UNIDAD;1;1;5
10000945;S20 ULTRA;;;23;UNIDAD;1;1;5
10000946;S21;;;23;UNIDAD;1;1;5
10000947;S21 FE;;;23;UNIDAD;1;1;5
10000948;S21 PLUS;;;23;UNIDAD;1;1;5
10000949;S22;;;23;UNIDAD;1;1;5
10000950;S22 PLUS;;;23;UNIDAD;1;1;5
10000951;S6 CORE PLUS SAMSUNG;;;23;UNIDAD;1;1;5
10000952;S6 SAMSUNG;;;23;UNIDAD;1;1;5
10000953;S7 SAMSUNG;;;23;UNIDAD;1;1;5
10000954;S8;;;23;UNIDAD;1;1;5
10000955;S8 PLUS;;;23;UNIDAD;1;1;5
10000956;S9;;;23;UNIDAD;1;1;5
10000957;S9 PLUS;;;23;UNIDAD;1;1;5
10000958;TCL 20 PRO;;;23;UNIDAD;1;1;5
10000959;XIAOMI  NOTE 11/11S;;;23;UNIDAD;1;1;5
10000960;XIAOMI 12;;;23;UNIDAD;1;1;5
10000961;XIAOMI 9C/9A;;;23;UNIDAD;1;1;5
10000962;XIAOMI M19;;;23;UNIDAD;1;1;5
10000963;XIAOMI MI 10T PRO;;;23;UNIDAD;1;1;5
10000964;XIAOMI MI 11 Lite;;;23;UNIDAD;1;1;5
10000965;XIAOMI MI 11 LITE 5G;;;23;UNIDAD;1;1;5
10000966;XIAOMI MI 8 LITE;;;23;UNIDAD;1;1;5
10000967;XIAOMI MI 8A;;;23;UNIDAD;1;1;5
10000968;XIAOMI MI A2;;;23;UNIDAD;1;1;5
10000969;XIAOMI MI A2 LITE;;;23;UNIDAD;1;1;5
10000970;XIAOMI MI A3;;;23;UNIDAD;1;1;5
10000971;XIAOMI NOTE 10;;;23;UNIDAD;1;1;5
10000972;XIAOMI NOTE 10 pro;;;23;UNIDAD;1;1;5
10000973;XIAOMI NOTE 10 PRO 5G;;;23;UNIDAD;1;1;5
10000974;XIAOMI NOTE 11S;;;23;UNIDAD;1;1;5
10000975;XIAOMI NOTE 5 ;;;23;UNIDAD;1;1;5
10000976;XIAOMI NOTE 7;;;23;UNIDAD;1;1;5
10000977;XIAOMI NOTE9;;;23;UNIDAD;1;1;5
10000978;XIAOMI REDMI 10;;;23;UNIDAD;1;1;5
10000979;XIAOMI REDMI 10C;;;23;UNIDAD;1;1;5
10000980;XIAOMI REDMI 7;;;23;UNIDAD;1;1;5
10000981;XIAOMI REDMI 8;;;23;UNIDAD;1;1;5
10000982;XIAOMI REDMI 8A;;;23;UNIDAD;1;1;5
10000984;XIAOMI REDMI 9C;;;23;UNIDAD;1;1;5
10000985;XIAOMI REMI 9;;;23;UNIDAD;1;1;5
10000986;XIAOMI X NOTE 11PRO;;;23;UNIDAD;1;1;5
10000987;XIAOMI XIA A2;;;23;UNIDAD;1;1;5
10000988;XIAOMI XIA NOTE 8 PRO;;;23;UNIDAD;1;1;5
10000989;XIAOMI XIA NOTE 8T;;;23;UNIDAD;1;1;5
10000990;XIAOMI XIA NOTE 9 PRO;;;23;UNIDAD;1;1;5
10000991;ZTE A31 Y A51;;;23;UNIDAD;1;1;5
10000992;ZTE A530;;;23;UNIDAD;1;1;5
10000993;ZTE A75;;;23;UNIDAD;1;1;5
10000994;ZTE K10;;;23;UNIDAD;1;1;5
10000995;ZTE V SMART;;;23;UNIDAD;1;1;5
10000996;ZTE V10 VITA;;;23;UNIDAD;1;1;5
10000997;ZTE V20 SMART;;;23;UNIDAD;1;1;5
10000998;ZTE VITA 030;;;23;UNIDAD;1;1;5
